"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1997-08-11,,71,64,,,
1997-08-12,,76,63,,,
1997-08-13,,75,63,,,
1997-08-14,,76,61,,,
1997-08-15,,84,71,,,
1997-08-16,,91,66,,,
1997-08-17,,77,64,,,
1997-08-18,,69,60,,,
1997-08-19,,71,58,,,
1997-08-20,,73,62,,,
1997-08-21,,72,57,,,
1997-08-22,,74,55,,,
1997-08-23,,76,56,,,
1997-08-24,,78,63,,,
1997-08-25,,73,63,,,
1997-08-26,,81,61,,,
1997-08-27,,86,71,,,
1997-08-28,,75,65,,,
1997-08-29,,76,60,,,
1997-08-30,,74,63,,,
1997-08-31,,80,67,,,
1997-09-01,,85,63,,,
1997-09-02,,77,62,,,
1997-09-03,,67,52,,,
1997-09-04,,69,49,,,
1997-09-05,,80,52,,,
1997-09-06,,87,62,,,
1997-09-07,,74,64,,,
1997-09-08,,72,64,,,
1997-09-09,,74,64,,,
1997-09-10,,71,59,,,
1997-09-11,,73,55,,,
1997-09-12,,75,53,,,
1997-09-13,,77,56,,,
1997-09-14,,80,65,,,
1997-09-15,,83,62,,,
1997-09-16,,85,68,,,
1997-09-17,,82,64,,,
1997-09-18,,84,60,,,
1997-09-19,,84,64,,,
1997-09-20,,69,56,,,
1997-09-21,,65,53,,,
1997-09-22,,64,52,,,
1997-09-23,,65,54,,,
1997-09-24,,69,50,,,
1997-09-25,,79,53,,,
1997-09-26,,68,56,,,
1997-09-27,,,,,,
1997-09-28,,,,,,
1997-09-29,,77,54,,,
1997-09-30,,,,,,
1997-10-01,,59,48,,,
1997-10-02,,79,46,,,
1997-10-03,,87,60,,,
1997-10-04,,76,61,,,
1997-10-05,,88,59,,,
1997-10-06,,85,63,,,
1997-10-07,,85,65,,,
1997-10-08,,84,67,,,
1997-10-09,,75,52,,,
1997-10-10,,68,48,,,
1997-10-11,,76,49,,,
1997-10-12,,82,63,,,
1997-10-13,,74,46,,,
1997-10-14,,48,38,,,
1997-10-15,,54,35,,,
1997-10-16,,54,44,,,
1997-10-17,,53,39,,,
1997-10-18,,57,38,,,
1997-10-19,,65,39,,,
1997-10-20,,53,40,,,
1997-10-21,,49,38,,,
1997-10-22,,44,33,,,
1997-10-23,,54,38,,,
1997-10-24,,50,42,,,
1997-10-25,,51,46,,,
1997-10-26,,46,34,,,
1997-10-27,,39,29,,,
1997-10-28,,52,28,,,
1997-10-29,,58,35,,,
1997-10-30,,62,44,,,
1997-10-31,,65,53,,,
1997-11-01,,57,43,,,
1997-11-02,,44,33,,,
1997-11-03,,39,32,,,
1997-11-04,,39,37,,,
1997-11-05,,48,36,,,
1997-11-06,,47,43,,,
1997-11-07,,47,40,,,
1997-11-08,,47,40,,,
1997-11-09,,45,41,,,
1997-11-10,,42,31,,,
1997-11-11,,33,26,,,
1997-11-12,,34,20,,,
1997-11-13,,37,28,,,
1997-11-14,,38,34,,,
1997-11-15,,35,25,,,
1997-11-16,,28,18,,,
1997-11-17,,35,18,,,
1997-11-18,,40,26,,,
1997-11-19,,35,22,,,
1997-11-20,,46,27,,,
1997-11-21,,42,37,,,
1997-11-22,,46,27,,,
1997-11-23,,32,22,,,
1997-11-24,,37,16,,,
1997-11-25,,57,37,,,
1997-11-26,,52,34,,,
1997-11-27,,49,30,,,
1997-11-28,,56,44,,,
1997-11-29,,51,44,,,
1997-11-30,,47,38,,,
1997-12-01,,41,37,,,
1997-12-02,,40,36,,,
1997-12-03,,38,35,,,
1997-12-04,,35,28,,,
1997-12-05,,30,22,,,
1997-12-06,,32,25,,,
1997-12-07,,31,27,,,
1997-12-08,,31,26,,,
1997-12-09,,35,30,,,
1997-12-10,,36,32,,,
1997-12-11,,36,32,,,
1997-12-12,,32,24,,,
1997-12-13,,35,22,,,
1997-12-14,,41,21,,,
1997-12-15,,47,28,,,
1997-12-16,,46,32,,,
1997-12-17,,48,27,,,
1997-12-18,,46,33,,,
1997-12-19,,51,31,,,
1997-12-20,,38,31,,,
1997-12-21,,37,30,,,
1997-12-22,,37,32,,,
1997-12-23,,39,32,,,
1997-12-24,,35,32,,,
1997-12-25,,36,26,,,
1997-12-26,,33,25,,,
1997-12-27,,31,19,,,
1997-12-28,,34,19,,,
1997-12-29,,33,26,,,
1997-12-30,,28,18,,,
1997-12-31,,24,13,,,
1998-01-01,,43,15,,,
1998-01-02,,50,37,,,
1998-01-03,,57,37,,,
1998-01-04,,56,35,,,
1998-01-05,,56,41,,,
1998-01-06,,47,39,,,
1998-01-07,,41,35,,,
1998-01-08,,35,32,,,
1998-01-09,,34,20,,,
1998-01-10,,20,9,,,
1998-01-11,,27,11,,,
1998-01-12,,32,16,,,
1998-01-13,,16,2,,,
1998-01-14,,28,9,,,
1998-01-15,,31,25,,,
1998-01-16,,29,26,,,
1998-01-17,,29,19,,,
1998-01-18,,28,9,,,
1998-01-19,,29,17,,,
1998-01-20,,29,19,,,
1998-01-21,,32,28,,,
1998-01-22,,32,30,,,
1998-01-23,,32,24,,,
1998-01-24,,31,23,,,
1998-01-25,,32,25,,,
1998-01-26,,39,25,,,
1998-01-27,,35,30,,,
1998-01-28,,42,29,,,
1998-01-29,,41,32,,,
1998-01-30,,33,29,,,
1998-01-31,,41,28,,,
1998-02-01,,47,34,,,
1998-02-02,,41,30,,,
1998-02-03,,40,29,,,
1998-02-04,,35,31,,,
1998-02-05,,35,29,,,
1998-02-06,,41,32,,,
1998-02-07,,40,29,,,
1998-02-08,,43,30,,,
1998-02-09,,48,28,,,
1998-02-10,,48,29,,,
1998-02-11,,45,37,,,
1998-02-12,,39,30,,,
1998-02-13,,39,30,,,
1998-02-14,,42,33,,,
1998-02-15,,52,34,,,
1998-02-16,,44,39,,,
1998-02-17,,44,39,,,
1998-02-18,,39,37,,,
1998-02-19,,41,37,,,
1998-02-20,,44,35,,,
1998-02-21,,45,34,,,
1998-02-22,,49,39,,,
1998-02-23,,47,34,,,
1998-02-24,,54,39,,,
1998-02-25,,57,35,,,
1998-02-26,,63,46,,,
1998-02-27,,53,38,,,
1998-02-28,,50,35,,,
1998-03-01,,39,32,,,
1998-03-02,,37,30,,,
1998-03-03,,37,31,,,
1998-03-04,,38,30,,,
1998-03-05,,39,32,,,
1998-03-06,,39,32,,,
1998-03-07,,43,32,,,
1998-03-08,,39,36,,,
1998-03-09,,36,17,,,
1998-03-10,,23,13,,,
1998-03-11,,22,13,,,
1998-03-12,,24,8,,,
1998-03-13,,39,17,,,
1998-03-14,,34,22,,,
1998-03-15,,30,22,,,
1998-03-16,,36,29,,,
1998-03-17,,40,33,,,
1998-03-18,,52,39,,,
1998-03-19,,40,34,,,
1998-03-20,,36,32,,,
1998-03-21,,42,30,,,
1998-03-22,,47,26,,,
1998-03-23,,46,31,,,
1998-03-24,,51,30,,,
1998-03-25,,60,41,,,
1998-03-26,,75,57,,,
1998-03-27,,77,56,,,
1998-03-28,,65,52,,,
1998-03-29,,79,48,,,
1998-03-30,,79,65,,,
1998-03-31,,71,49,,,
1998-04-01,44,49,39,0.20,,
1998-04-02,44,49,39,0.01,,
1998-04-03,42,44,39,0.00,,
1998-04-04,44,50,37,0.00,,
1998-04-05,42,52,31,0.00,,
1998-04-06,50,61,38,0.00,,
1998-04-07,54,61,46,0.47,,
1998-04-08,49,52,45,0.36,,
1998-04-09,44,46,41,0.04,,
1998-04-10,46,56,36,0.00,,
1998-04-11,52,67,36,0.00,,
1998-04-12,64,73,55,0.00,,
1998-04-13,63,69,56,0.62,,
1998-04-14,60,68,51,0.01,,
1998-04-15,58,66,50,0.01,,
1998-04-16,45,53,37,0.04,,
1998-04-17,45,56,34,0.00,,
1998-04-18,50,60,39,0.00,,
1998-04-19,52,62,41,0.00,,
1998-04-20,56,65,46,0.63,,
1998-04-21,52,55,48,0.08,,
1998-04-22,54,63,45,0.00,,
1998-04-23,58,72,43,0.00,,
1998-04-24,62,76,48,0.00,,
1998-04-25,59,69,48,0.11,,
1998-04-26,51,60,42,0.61,,
1998-04-27,46,51,41,0.00,,
1998-04-28,48,57,39,0.06,,
1998-04-29,56,63,48,0.32,,
1998-04-30,57,62,51,0.04,,
1998-05-01,60,68,52,0.00,,
1998-05-02,57,63,51,0.00,,
1998-05-03,52,55,48,0.17,,
1998-05-04,60,71,48,0.04,,
1998-05-05,45,72,,0.18,,
1998-05-06,45,73,,0.47,,
1998-05-07,59,62,55,2.14,,
1998-05-08,61,69,53,0.14,,
1998-05-09,59,66,51,0.00,,
1998-05-10,59,67,50,0.00,,
1998-05-11,60,70,49,0.00,,
1998-05-12,66,80,52,0.07,,
1998-05-13,69,77,60,0.20,,
1998-05-14,70,83,57,0.00,,
1998-05-15,79,88,70,0.00,,
1998-05-16,74,83,65,0.00,,
1998-05-17,72,87,57,0.00,,
1998-05-18,78,92,64,0.00,,
1998-05-19,81,91,70,0.00,,
1998-05-20,69,77,60,0.00,,
1998-05-21,67,78,56,0.00,,
1998-05-22,60,65,55,0.00,,
1998-05-23,63,70,56,0.03,,
1998-05-24,62,70,53,0.83,,
1998-05-25,61,68,53,0.00,,
1998-05-26,64,77,51,0.00,,
1998-05-27,70,82,57,0.00,,
1998-05-28,79,91,66,0.07,,
1998-05-29,75,84,66,0.05,,
1998-05-30,76,89,63,0.00,,
1998-05-31,72,83,60,0.00,,
1998-06-01,66,78,54,0.00,,
1998-06-02,66,79,52,0.00,,
1998-06-03,55,58,51,0.15,,
1998-06-04,59,65,52,0.00,,
1998-06-05,53,59,46,0.08,,
1998-06-06,53,62,44,0.01,,
1998-06-07,58,70,46,0.00,,
1998-06-08,60,69,50,0.14,,
1998-06-09,61,64,57,1.04,,
1998-06-10,67,75,58,0.00,,
1998-06-11,69,76,62,1.39,,
1998-06-12,75,85,65,0.00,,
1998-06-13,70,79,61,0.00,,
1998-06-14,70,76,63,0.00,,
1998-06-15,72,79,65,0.00,,
1998-06-16,72,81,63,0.00,,
1998-06-17,74,85,62,0.00,,
1998-06-18,78,90,65,0.41,,
1998-06-19,75,83,66,0.00,,
1998-06-20,80,90,70,0.00,,
1998-06-21,79,88,70,0.00,,
1998-06-22,78,86,69,0.00,,
1998-06-23,77,87,66,0.00,,
1998-06-24,85,95,75,0.00,,
1998-06-25,86,97,75,0.00,,
1998-06-26,79,87,70,0.70,,
1998-06-27,83,94,71,0.01,,
1998-06-28,79,89,68,0.21,,
1998-06-29,78,88,67,0.06,,
1998-06-30,74,83,65,0.00,,
1998-07-01,73,80,65,0.00,,
1998-07-02,75,86,63,0.00,,
1998-07-03,80,89,70,0.85,,
1998-07-04,69,73,64,0.00,,
1998-07-05,72,78,65,0.00,,
1998-07-06,79,87,71,0.00,,
1998-07-07,75,81,69,0.08,,
1998-07-08,75,82,68,0.00,,
1998-07-09,75,82,68,0.00,,
1998-07-10,74,81,67,0.00,,
1998-07-11,73,80,66,0.00,,
1998-07-12,75,84,65,0.00,,
1998-07-13,77,86,68,0.00,,
1998-07-14,80,90,70,0.00,,
1998-07-15,81,90,71,0.00,,
1998-07-16,81,88,73,0.00,,
1998-07-17,78,84,71,0.00,,
1998-07-18,81,89,72,0.00,,
1998-07-19,80,92,68,0.49,,
1998-07-20,82,90,73,0.02,,
1998-07-21,87,96,77,0.00,,
1998-07-22,77,82,71,0.10,,
1998-07-23,74,81,67,0.00,,
1998-07-24,72,81,63,0.00,,
1998-07-25,71,80,62,0.00,,
1998-07-26,73,83,62,0.00,,
1998-07-27,74,82,65,0.00,,
1998-07-28,79,89,69,0.00,,
1998-07-29,78,84,72,0.00,,
1998-07-30,72,79,65,0.00,,
1998-07-31,72,78,65,0.00,,
1998-08-01,73,84,62,0.00,,
1998-08-02,75,84,65,0.00,,
1998-08-03,78,84,72,0.04,,
1998-08-04,72,75,69,1.89,,
1998-08-05,76,82,69,0.54,,
1998-08-06,78,83,72,0.01,,
1998-08-07,74,78,70,1.03,,0.0
1998-08-08,78,84,71,0.00,,
1998-08-09,80,87,72,0.00,,
1998-08-10,79,88,69,0.29,,0.0
1998-08-11,73,79,66,0.00,,
1998-08-12,71,78,63,0.00,,
1998-08-13,74,80,68,0.00,,
1998-08-14,75,84,65,0.01,,
1998-08-15,75,81,68,0.07,,
1998-08-16,74,84,63,0.00,,
1998-08-17,78,85,70,0.00,,
1998-08-18,74,78,69,0.00,,
1998-08-19,71,78,63,0.00,,
1998-08-20,75,87,62,0.00,,
1998-08-21,81,91,71,0.00,,
1998-08-22,82,89,74,0.14,,
1998-08-23,83,93,72,0.00,,
1998-08-24,78,87,68,0.42,,
1998-08-25,78,86,70,0.20,,
1998-08-26,75,84,65,0.00,,
1998-08-27,77,84,70,0.00,,
1998-08-28,71,76,66,0.35,,
1998-08-29,77,87,66,0.00,,
1998-08-30,74,82,65,0.00,,
1998-08-31,71,81,61,0.00,,
1998-09-01,73,79,66,0.00,,
1998-09-02,68,76,60,0.00,,
1998-09-03,72,85,58,0.05,,
1998-09-04,72,78,66,0.00,,
1998-09-05,75,89,60,0.00,,
1998-09-06,83,94,72,0.02,,
1998-09-07,68,75,61,1.42,,
1998-09-08,63,70,56,0.00,,
1998-09-09,65,73,57,0.01,,
1998-09-10,,,,0.00,,0.0
1998-09-11,72,84,60,0.00,,0.0
1998-09-12,75,88,62,0.00,,0.0
1998-09-13,77,90,64,0.00,,
1998-09-14,74,78,69,0.38,,
1998-09-15,71,73,69,0.08,,
1998-09-16,66,77,55,0.00,,0.0
1998-09-17,72,78,66,0.00,,
1998-09-18,71,81,60,0.00,,
1998-09-19,76,86,65,0.00,,
1998-09-20,78,88,68,0.69,,
1998-09-21,65,69,61,0.00,,
1998-09-22,60,68,52,0.00,,
1998-09-23,59,67,50,0.00,,
1998-09-24,60,66,54,0.02,,
1998-09-25,70,81,58,0.05,,
1998-09-26,82,92,71,0.05,,
1998-09-27,75,87,63,0.00,,
1998-09-28,66,74,57,0.00,,
1998-09-29,66,73,58,0.02,,
1998-09-30,66,77,55,0.02,,
1998-10-01,54,61,47,0.02,,
1998-10-02,52,59,44,0.01,,
1998-10-03,55,58,51,0.22,,
1998-10-04,59,63,54,0.49,,
1998-10-05,65,73,56,0.02,,
1998-10-06,65,74,55,0.20,,
1998-10-07,56,60,51,0.00,,
1998-10-08,56,59,52,0.00,,
1998-10-09,57,63,50,0.00,,
1998-10-10,55,65,44,0.00,,
1998-10-11,58,69,46,0.00,,0.0
1998-10-12,60,70,49,0.00,,
1998-10-13,49,55,42,0.00,,
1998-10-14,48,58,37,0.00,,
1998-10-15,58,66,50,0.00,,
1998-10-16,70,80,59,0.00,,
1998-10-17,68,72,63,1.12,,
1998-10-18,57,68,45,0.27,,
1998-10-19,54,67,41,0.09,,
1998-10-20,50,58,41,0.02,,
1998-10-21,48,55,41,0.02,,
1998-10-22,46,55,36,0.01,,
1998-10-23,51,63,39,0.02,,
1998-10-24,54,67,40,0.00,,
1998-10-25,56,66,46,0.00,,
1998-10-26,63,74,52,0.00,,
1998-10-27,66,73,59,0.44,,
1998-10-28,57,64,50,0.05,,
1998-10-29,54,62,46,0.61,,
1998-10-30,61,65,57,0.05,,
1998-10-31,58,60,55,0.00,,
1998-11-01,56,57,54,0.01,,
1998-11-02,50,54,46,0.00,,
1998-11-03,44,47,41,0.00,,
1998-11-04,39,42,35,0.18,,
1998-11-05,38,42,34,0.11,,
1998-11-06,39,45,32,0.00,,
1998-11-07,36,43,29,0.00,,
1998-11-08,38,41,34,0.06,,
1998-11-09,44,49,39,0.49,,
1998-11-10,53,65,41,0.68,,
1998-11-11,42,47,36,0.00,,
1998-11-12,42,47,37,0.00,,
1998-11-13,48,54,42,0.00,,
1998-11-14,51,59,42,0.00,,
1998-11-15,44,47,40,0.00,,
1998-11-16,49,57,40,0.00,,
1998-11-17,44,48,40,0.00,,
1998-11-18,51,61,40,0.00,,
1998-11-19,45,56,34,0.00,,
1998-11-20,32,35,28,0.00,,
1998-11-21,35,43,27,0.00,,
1998-11-22,50,60,39,0.00,,
1998-11-23,53,61,44,0.00,,
1998-11-24,46,58,34,0.00,,
1998-11-25,50,54,45,0.05,,
1998-11-26,50,60,40,0.00,,
1998-11-27,51,65,37,0.00,,
1998-11-28,57,69,45,0.00,,
1998-11-29,63,69,56,0.00,,
1998-11-30,53,65,40,0.28,,
1998-12-01,47,58,36,0.00,,
1998-12-02,56,63,49,0.00,,
1998-12-03,64,69,58,0.00,,
1998-12-04,64,68,59,0.00,,
1998-12-05,60,63,57,0.00,,
1998-12-06,51,63,39,1.15,,
1998-12-07,41,44,37,0.00,,
1998-12-08,39,45,32,0.00,,
1998-12-09,41,49,32,0.00,,
1998-12-10,37,42,31,0.00,,
1998-12-11,38,48,28,0.00,,
1998-12-12,40,49,30,0.00,,
1998-12-13,39,49,29,0.00,,
1998-12-14,38,47,28,0.00,,
1998-12-15,44,52,36,0.00,,
1998-12-16,38,44,32,0.00,,
1998-12-17,34,39,29,0.00,,
1998-12-18,44,54,34,0.00,,
1998-12-19,37,44,30,0.00,,
1998-12-20,34,37,30,0.02,,
1998-12-21,24,35,12,0.01,,
1998-12-22,10,14,5,0.00,,
1998-12-23,17,24,10,0.00,,
1998-12-24,20,28,11,0.00,,
1998-12-25,25,33,17,0.00,,
1998-12-26,27,32,21,0.00,,
1998-12-27,37,44,29,0.00,,
1998-12-28,32,42,21,0.00,,
1998-12-29,23,37,9,0.06,,
1998-12-30,8,14,2,0.00,,
1998-12-31,14,19,9,0.00,,
1999-01-01,15,21,8,0.00,,
1999-01-02,22,26,17,0.00,,
1999-01-03,16,27,4,0.00,,
1999-01-04,-1,5,-8,0.00,,
1999-01-05,2,19,-15,0.00,,
1999-01-06,14,23,5,0.00,,
1999-01-07,3,10,-5,0.00,,
1999-01-08,17,24,10,0.00,,
1999-01-09,6,14,-3,0.00,,
1999-01-10,8,16,-1,0.00,,
1999-01-11,7,15,-1,0.00,,
1999-01-12,22,30,13,0.00,,
1999-01-13,20,24,16,0.00,,
1999-01-14,17,19,15,0.00,,
1999-01-15,24,30,17,0.00,,
1999-01-16,34,41,27,0.24,,
1999-01-17,33,42,23,0.36,,
1999-01-18,30,36,23,0.01,,
1999-01-19,26,32,19,0.00,,
1999-01-20,31,42,20,0.02,,
1999-01-21,37,41,33,0.88,,
1999-01-22,43,48,38,0.25,,
1999-01-23,40,45,34,0.64,,
1999-01-24,34,35,32,0.01,,
1999-01-25,30,35,24,0.01,,
1999-01-26,31,41,21,0.00,,
1999-01-27,43,52,34,0.00,,
1999-01-28,34,35,32,0.00,,
1999-01-29,36,41,30,0.00,,
1999-01-30,35,44,26,0.00,,
1999-01-31,37,41,32,0.01,,
1999-02-01,41,46,36,0.04,,
1999-02-02,39,43,35,0.22,,
1999-02-03,41,46,36,0.01,,
1999-02-04,34,43,25,0.01,,
1999-02-05,34,45,23,0.04,,
1999-02-06,42,48,35,0.00,,
1999-02-07,35,39,31,0.00,,
1999-02-08,40,48,31,0.00,,
1999-02-09,47,57,37,0.00,,
1999-02-10,48,61,34,0.00,,
1999-02-11,51,71,30,0.19,,
1999-02-12,25,32,17,0.00,,
1999-02-13,26,36,16,0.00,,
1999-02-14,36,47,24,0.00,,
1999-02-15,46,57,35,0.00,,
1999-02-16,40,47,33,0.06,,
1999-02-17,30,33,27,0.00,,
1999-02-18,30,37,23,0.00,,
1999-02-19,31,34,28,0.00,,
1999-02-20,27,31,23,0.00,,
1999-02-21,31,36,26,0.00,,
1999-02-22,28,33,22,0.00,,
1999-02-23,31,35,26,0.00,,
1999-02-24,31,37,24,0.00,,
1999-02-25,36,40,31,0.16,,
1999-02-26,40,49,30,0.25,,
1999-02-27,46,51,41,0.18,,
1999-02-28,40,43,36,0.05,,
1999-03-01,38,45,31,0.00,,0.0
1999-03-02,40,46,34,0.22,,
1999-03-03,33,37,28,0.00,,
1999-03-04,31,38,24,0.00,,
1999-03-05,38,43,32,0.08,,
1999-03-06,28,32,23,0.00,,
1999-03-07,23,26,19,0.21,,
1999-03-08,26,32,19,0.00,,
1999-03-09,30,32,28,0.02,,
1999-03-10,31,35,27,0.04,,
1999-03-11,30,37,23,0.00,,
1999-03-12,30,37,22,0.00,,
1999-03-13,33,36,30,0.00,,
1999-03-14,35,39,30,0.00,,
1999-03-15,35,44,25,0.00,,
1999-03-16,44,54,34,0.00,,
1999-03-17,51,62,39,0.00,,
1999-03-18,42,48,35,0.00,,
1999-03-19,38,45,31,0.00,,
1999-03-20,42,55,28,0.00,,
1999-03-21,41,48,33,0.00,,
1999-03-22,36,44,28,0.00,,
1999-03-23,43,56,29,0.00,,
1999-03-24,38,44,31,0.00,,
1999-03-25,36,41,30,0.00,,
1999-03-26,39,44,33,0.00,,
1999-03-27,44,58,30,0.00,,
1999-03-28,48,56,40,0.00,,
1999-03-29,52,64,39,0.00,,
1999-03-30,59,74,44,0.00,,
1999-03-31,62,73,50,0.00,,
1999-04-01,59,63,55,0.00,,
1999-04-02,66,77,55,0.00,,
1999-04-03,67,73,60,0.00,,
1999-04-04,58,69,47,0.24,,
1999-04-05,53,63,42,0.05,,
1999-04-06,55,62,48,0.06,,
1999-04-07,61,78,43,0.00,,
1999-04-08,58,65,50,1.14,,
1999-04-09,48,53,43,0.11,,
1999-04-10,50,60,40,0.09,,
1999-04-11,47,52,41,0.00,,
1999-04-12,48,57,38,0.00,,
1999-04-13,51,60,41,0.00,,
1999-04-14,52,62,41,0.00,,
1999-04-15,51,56,46,0.90,,
1999-04-16,45,46,43,0.28,,
1999-04-17,44,50,37,0.00,,
1999-04-18,45,48,41,0.20,,
1999-04-19,46,55,37,0.00,,
1999-04-20,49,59,38,0.15,,
1999-04-21,57,64,49,0.02,,
1999-04-22,53,59,47,1.34,,
1999-04-23,46,52,40,0.13,,
1999-04-24,46,54,38,0.00,,
1999-04-25,51,63,38,0.00,,
1999-04-26,55,65,44,0.00,,
1999-04-27,52,56,47,1.28,,
1999-04-28,55,63,47,0.05,,
1999-04-29,55,63,46,0.00,,
1999-04-30,54,66,42,0.00,,
1999-05-01,58,73,43,0.00,,
1999-05-02,60,74,46,0.00,,
1999-05-03,69,80,57,0.00,,
1999-05-04,72,83,60,0.03,,
1999-05-05,73,82,64,0.10,,
1999-05-06,61,67,54,0.30,,
1999-05-07,59,63,54,0.00,,
1999-05-08,55,60,50,0.00,,
1999-05-09,54,62,46,0.00,,
1999-05-10,61,75,47,0.00,,
1999-05-11,69,80,58,0.74,,
1999-05-12,66,75,56,0.16,,
1999-05-13,54,59,49,0.01,,
1999-05-14,57,65,48,0.00,,
1999-05-15,65,74,55,0.01,,
1999-05-16,73,85,60,0.00,,
1999-05-17,72,80,64,0.66,,
1999-05-18,63,70,56,0.09,,
1999-05-19,62,72,51,0.00,,
1999-05-20,70,82,57,0.00,,
1999-05-21,70,80,60,0.80,,
1999-05-22,62,70,54,0.03,,
1999-05-23,63,73,53,0.44,,
1999-05-24,54,56,51,0.00,,
1999-05-25,58,69,46,0.00,,
1999-05-26,63,73,53,0.00,,
1999-05-27,67,83,51,0.00,,
1999-05-28,77,87,66,0.00,,
1999-05-29,78,88,67,0.00,,
1999-05-30,76,86,65,0.00,,
1999-05-31,76,84,67,0.47,,
1999-06-01,69,79,59,1.64,,
1999-06-02,67,75,58,0.52,,
1999-06-03,61,65,56,0.00,,
1999-06-04,68,80,56,0.00,,
1999-06-05,78,91,65,0.00,,
1999-06-06,85,94,76,0.00,,
1999-06-07,84,91,76,0.00,,
1999-06-08,83,92,74,0.00,,
1999-06-09,83,92,73,0.00,,
1999-06-10,83,92,73,0.51,,
1999-06-11,81,91,71,1.39,,
1999-06-12,77,84,70,0.10,,
1999-06-13,68,75,61,0.71,,
1999-06-14,68,76,59,0.00,,
1999-06-15,60,64,55,0.00,,
1999-06-16,62,67,57,0.00,,
1999-06-17,59,67,51,0.00,,
1999-06-18,63,74,51,0.00,,
1999-06-19,71,78,63,0.00,,
1999-06-20,71,79,62,0.00,,
1999-06-21,76,84,68,0.00,,
1999-06-22,79,87,70,0.14,,
1999-06-23,80,87,72,0.05,,
1999-06-24,78,83,72,0.24,,
1999-06-25,78,87,68,0.00,,
1999-06-26,80,89,71,0.40,,
1999-06-27,79,85,72,0.01,,
1999-06-28,79,89,69,0.20,,
1999-06-29,66,73,59,0.01,,
1999-06-30,71,80,62,0.00,,
1999-07-01,74,81,67,0.56,,
1999-07-02,79,88,69,0.00,,
1999-07-03,86,92,79,0.00,,
